" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Sn-Ka Chi2" ," Sn-Ka Area" ," Sn-Ka AreaStd" ," Sn-Ka cps" ," Sn-Ka cpsStd" 
ZH19-35!0!0! 470.0!2019-09-11!02-38-24!50!50!2000!470.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 470.0,470.0,50,85,XRay Tube Generator,1.08E+05,301.2,453385,707,9067.71,14.13
ZH19-35!0!0! 475.0!2019-09-11!02-39-57!50!50!2000!475.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 475.0,475.0,50,85,XRay Tube Generator,1.08E+05,302.3,452757,707,9055.15,14.13
ZH19-35!0!0! 480.0!2019-09-11!02-41-31!50!50!2000!480.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 480.0,480.0,50,86,XRay Tube Generator,1.08E+05,299.1,452915,707,9058.30,14.13
ZH19-35!0!0! 485.0!2019-09-11!02-43-05!50!50!2000!485.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 485.0,485.0,50,85,XRay Tube Generator,1.08E+05,232.1,453456,707,9069.12,14.13
ZH19-35!0!0! 490.0!2019-09-11!02-44-38!50!50!2000!490.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 490.0,490.0,50,86,XRay Tube Generator,1.08E+05,291.1,452217,706,9044.34,14.13
ZH19-35!0!0! 495.0!2019-09-11!02-46-12!50!50!2000!495.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 495.0,495.0,50,86,XRay Tube Generator,1.08E+05,302.5,452164,706,9043.28,14.12
ZH19-35!0!0! 500.0!2019-09-11!02-47-46!50!50!2000!500.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 500.0,500.0,50,85,XRay Tube Generator,1.08E+05,233.4,450904,705,9018.09,14.10
ZH19-35!0!0! 505.0!2019-09-11!02-49-20!50!50!2000!505.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 505.0,505.0,50,85,XRay Tube Generator,1.08E+05,277.5,451844,706,9036.89,14.11
ZH19-35!0!0! 510.0!2019-09-11!02-50-54!50!50!2000!510.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 510.0,510.0,50,85,XRay Tube Generator,1.08E+05,231.6,452330,705,9046.61,14.11
ZH19-35!0!0! 515.0!2019-09-11!02-52-29!50!50!2000!515.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 515.0,515.0,50,85,XRay Tube Generator,1.08E+05,298.6,451371,706,9027.43,14.11
ZH19-35!0!0! 520.0!2019-09-11!02-54-03!50!50!2000!520.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 520.0,520.0,50,85,XRay Tube Generator,1.08E+05,241.4,450338,704,9006.76,14.09
ZH19-35!0!0! 525.0!2019-09-11!02-55-37!50!50!2000!525.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 525.0,525.0,50,85,XRay Tube Generator,1.08E+05,294.2,451295,705,9025.91,14.11
ZH19-35!0!0! 530.0!2019-09-11!02-57-11!50!50!2000!530.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 530.0,530.0,50,85,XRay Tube Generator,1.08E+05,307.3,450912,705,9018.25,14.10
ZH19-35!0!0! 535.0!2019-09-11!02-58-45!50!50!2000!535.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 535.0,535.0,50,85,XRay Tube Generator,1.08E+05,232.2,451479,705,9029.59,14.11
ZH19-35!0!0! 540.0!2019-09-11!03-00-19!50!50!2000!540.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 540.0,540.0,50,85,XRay Tube Generator,1.08E+05,288.9,452379,706,9047.58,14.12
ZH19-35!0!0! 545.0!2019-09-11!03-01-53!50!50!2000!545.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 545.0,545.0,50,85,XRay Tube Generator,1.08E+05,236.5,452239,705,9044.78,14.11
ZH19-35!0!0! 550.0!2019-09-11!03-03-27!50!50!2000!550.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 550.0,550.0,50,85,XRay Tube Generator,1.08E+05,297.7,449687,704,8993.74,14.08
ZH19-35!0!0! 555.0!2019-09-11!03-05-00!50!50!2000!555.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 555.0,555.0,50,85,XRay Tube Generator,1.08E+05,237.4,450441,704,9008.82,14.08
ZH19-35!0!0! 560.0!2019-09-11!03-06-34!50!50!2000!560.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 560.0,560.0,50,85,XRay Tube Generator,1.08E+05,289.7,450430,705,9008.59,14.10
ZH19-35!0!0! 565.0!2019-09-11!03-08-08!50!50!2000!565.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 565.0,565.0,50,85,XRay Tube Generator,1.08E+05,234.2,449679,704,8993.59,14.07
ZH19-35!0!0! 570.0!2019-09-11!03-09-42!50!50!2000!570.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 570.0,570.0,50,85,XRay Tube Generator,1.08E+05,292.7,451371,706,9027.43,14.11
ZH19-35!0!0! 575.0!2019-09-11!03-11-18!50!50!2000!575.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 575.0,575.0,50,85,XRay Tube Generator,1.08E+05,293.7,451159,705,9023.18,14.11
ZH19-35!0!0! 580.0!2019-09-11!03-12-52!50!50!2000!580.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 580.0,580.0,50,85,XRay Tube Generator,1.08E+05,238.3,449926,704,8998.53,14.08
ZH19-35!0!0! 585.0!2019-09-11!03-14-26!50!50!2000!585.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 585.0,585.0,50,85,XRay Tube Generator,1.08E+05,300.2,451260,705,9025.19,14.10
ZH19-35!0!0! 590.0!2019-09-11!03-16-00!50!50!2000!590.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 590.0,590.0,50,85,XRay Tube Generator,1.08E+05,296.3,449823,704,8996.45,14.08
